# Iter057AA canonical degree-eight Weyl3 source normalized coefficients
# preregistration=84a6a3f060b28bace577ea76eadc0aed2c429014
# implementation=29e6fb029f2d468b81e8d7b4e6dbe18d22baedd4
# scientific_payload_sha256=908baddad1138611869582c08d6d4069d591b7e840d606bb397a34bec57719c7
# terminal_parent_Z=bb4fa6ccbf21e2a063467a1b0839223744866995
# degree8_nonzero_count=260
# degree8_time_containing_nonzero_count=170
# degree8_offdiagonal_nonzero_count=120
a,b,t,x,y,z,Shat_over_kappa7,value
0,0,0,0,0,8,102755840512,13152747585536/6103515625
0,0,0,0,2,6,-15193610688,-1944782168064/6103515625
0,0,0,0,4,4,9398088768,1202955362304/6103515625
0,0,0,0,6,2,-7530275520,-192775053312/1220703125
0,0,0,0,8,0,7157928960,183242981376/1220703125
0,0,0,2,0,6,-15193610688,-1944782168064/6103515625
0,0,0,2,2,4,3132696256,400985120768/6103515625
0,0,0,2,4,2,-1506055104,-192775053312/6103515625
0,0,0,2,6,0,1022561280,26177568768/1220703125
0,0,0,4,0,4,9398088768,1202955362304/6103515625
0,0,0,4,2,2,-1506055104,-192775053312/6103515625
0,0,0,4,4,0,613536768,78532706304/6103515625
0,0,0,6,0,2,-7530275520,-192775053312/1220703125
0,0,0,6,2,0,1022561280,26177568768/1220703125
0,0,0,8,0,0,7157928960,183242981376/1220703125
0,0,2,0,0,6,-32814688128,-4200280080384/6103515625
0,0,2,0,2,4,6908358592,884269899776/6103515625
0,0,2,0,4,2,-5668577088,-725577867264/6103515625
0,0,2,0,6,0,-1012599360,-25922543616/1220703125
0,0,2,2,0,4,6908358592,884269899776/6103515625
0,0,2,2,2,2,-1889525696,-241859289088/6103515625
0,0,2,2,4,0,-202519872,-25922543616/6103515625
0,0,2,4,0,2,-5668577088,-725577867264/6103515625
0,0,2,4,2,0,-202519872,-25922543616/6103515625
0,0,2,6,0,0,-1012599360,-25922543616/1220703125
0,0,4,0,0,4,26512727808,3393629159424/6103515625
0,0,4,0,2,2,-5854909888,-749428465664/6103515625
0,0,4,0,4,0,-3080791488,-394341310464/6103515625
0,0,4,2,0,2,-5854909888,-749428465664/6103515625
0,0,4,2,2,0,-1026930496,-131447103488/6103515625
0,0,4,4,0,0,-3080791488,-394341310464/6103515625
0,0,6,0,0,2,-14896353920,-381346660352/1220703125
0,0,6,0,2,0,-2695853120,-69013839872/1220703125
0,0,6,2,0,0,-2695853120,-69013839872/1220703125
0,0,8,0,0,0,-270448640,-6923485184/1220703125
0,1,1,1,0,6,-2977654592,-381139787776/6103515625
0,1,1,1,2,4,1082490912,138558836736/6103515625
0,1,1,1,4,2,-934659552,-119636422656/6103515625
0,1,1,1,6,0,756080640,19355664384/1220703125
0,1,1,3,0,4,3247472736,415676510208/6103515625
0,1,1,3,2,2,-934659552,-119636422656/6103515625
0,1,1,3,4,0,453648384,58066993152/6103515625
0,1,1,5,0,2,-4673297760,-119636422656/1220703125
0,1,1,5,2,0,756080640,19355664384/1220703125
0,1,1,7,0,0,5292564480,135489650688/1220703125
0,1,3,1,0,4,6204687744,794200031232/6103515625
0,1,3,1,2,2,-1695476704,-217021018112/6103515625
0,1,3,1,4,0,435201504,55705792512/6103515625
0,1,3,3,0,2,-5086430112,-651063054336/6103515625
0,1,3,3,2,0,435201504,55705792512/6103515625
0,1,3,5,0,0,2176007520,55705792512/1220703125
0,1,5,1,0,2,-5936346176,-759852310528/6103515625
0,1,5,1,2,0,402024224,51459100672/6103515625
0,1,5,3,0,0,1206072672,154377302016/6103515625
0,1,7,1,0,0,1045128320,26755284992/1220703125
0,2,1,0,1,6,-2977654592,-381139787776/6103515625
0,2,1,0,3,4,3247472736,415676510208/6103515625
0,2,1,0,5,2,-4673297760,-119636422656/1220703125
0,2,1,0,7,0,5292564480,135489650688/1220703125
0,2,1,2,1,4,1082490912,138558836736/6103515625
0,2,1,2,3,2,-934659552,-119636422656/6103515625
0,2,1,2,5,0,756080640,19355664384/1220703125
0,2,1,4,1,2,-934659552,-119636422656/6103515625
0,2,1,4,3,0,453648384,58066993152/6103515625
0,2,1,6,1,0,756080640,19355664384/1220703125
0,2,3,0,1,4,6204687744,794200031232/6103515625
0,2,3,0,3,2,-5086430112,-651063054336/6103515625
0,2,3,0,5,0,2176007520,55705792512/1220703125
0,2,3,2,1,2,-1695476704,-217021018112/6103515625
0,2,3,2,3,0,435201504,55705792512/6103515625
0,2,3,4,1,0,435201504,55705792512/6103515625
0,2,5,0,1,2,-5936346176,-759852310528/6103515625
0,2,5,0,3,0,1206072672,154377302016/6103515625
0,2,5,2,1,0,402024224,51459100672/6103515625
0,2,7,0,1,0,1045128320,26755284992/1220703125
0,3,1,0,0,7,-11956915200,-61219405824/244140625
0,3,1,0,2,5,464176704,59414618112/6103515625
0,3,1,0,4,3,555820800,2845802496/244140625
0,3,1,0,6,1,-6743897280,-172643770368/1220703125
0,3,1,2,0,5,464176704,59414618112/6103515625
0,3,1,2,2,3,185273600,948600832/244140625
0,3,1,2,4,1,-1348779456,-172643770368/6103515625
0,3,1,4,0,3,555820800,2845802496/244140625
0,3,1,4,2,1,-1348779456,-172643770368/6103515625
0,3,1,6,0,1,-6743897280,-172643770368/1220703125
0,3,3,0,0,5,8877426944,1136310648832/6103515625
0,3,3,0,2,3,1112423744,142390239232/6103515625
0,3,3,0,4,1,-5349923712,-684790235136/6103515625
0,3,3,2,0,3,1112423744,142390239232/6103515625
0,3,3,2,2,1,-1783307904,-228263411712/6103515625
0,3,3,4,0,1,-5349923712,-684790235136/6103515625
0,3,5,0,0,3,-3046491648,-389950930944/6103515625
0,3,5,0,2,1,-4292534976,-549444476928/6103515625
0,3,5,2,0,1,-4292534976,-549444476928/6103515625
0,3,7,0,0,1,-2360705280,-60434055168/1220703125
1,1,0,0,0,8,36432190976,4663320444928/6103515625
1,1,0,0,2,6,-4258604672,-545101398016/6103515625
1,1,0,0,4,4,3401269248,435362463744/6103515625
1,1,0,0,6,2,-1614024000,-1652760576/48828125
1,1,0,0,8,0,9425203200,48257040384/244140625
1,1,0,2,0,6,-6114606592,-782669643776/6103515625
1,1,0,2,2,4,1062256768,135968866304/6103515625
1,1,0,2,4,2,-367864896,-47086706688/6103515625
1,1,0,2,6,0,1244436480,31857573888/1220703125
1,1,0,4,0,4,2972271360,76090146816/1220703125
1,1,0,4,2,2,-412924992,-52854398976/6103515625
1,1,0,4,4,0,685449216,87737499648/6103515625
1,1,0,6,0,2,-2289925440,-58622091264/1220703125
1,1,0,6,2,0,1040394240,26634092544/1220703125
1,1,0,8,0,0,6568611840,168156463104/1220703125
1,1,2,0,0,6,-12909730816,-1652445544448/6103515625
1,1,2,0,2,4,2441938176,312568086528/6103515625
1,1,2,0,4,2,-1596340992,-204331646976/6103515625
1,1,2,0,6,0,5035976640,128921001984/1220703125
1,1,2,2,0,4,3576690816,457816424448/6103515625
1,1,2,2,2,2,-1069194368,-136856879104/6103515625
1,1,2,2,4,0,1114339776,142635491328/6103515625
1,1,2,4,0,2,-4818825216,-616809627648/6103515625
1,1,2,4,2,0,1221484224,156349980672/6103515625
1,1,2,6,0,0,6643143360,170064470016/1220703125
1,1,4,0,0,4,17287472640,442559299584/1220703125
1,1,4,0,2,2,-3019107968,-386445819904/6103515625
1,1,4,0,4,0,6126249984,784159997952/6103515625
1,1,4,2,0,2,-7064453120,-180849999872/1220703125
1,1,4,2,2,0,2231243904,285599219712/6103515625
1,1,4,4,0,0,7261213440,185887064064/1220703125
1,1,6,0,0,2,-15057942016,-1927416578048/6103515625
1,1,6,0,2,0,7142023424,914178998272/6103515625
1,1,6,2,0,0,8337263232,1067169693696/6103515625
1,1,8,0,0,0,10769958400,55142187008/244140625
1,2,0,1,1,6,-928000960,-23756824576/1220703125
1,2,0,1,3,4,-107249472,-13727932416/6103515625
1,2,0,1,5,2,-112650240,-2883846144/1220703125
1,2,0,1,7,0,-357073920,-9141092352/1220703125
1,2,0,3,1,4,-107249472,-13727932416/6103515625
1,2,0,3,3,2,-67590144,-8651538432/6103515625
1,2,0,3,5,0,-153031680,-3917611008/1220703125
1,2,0,5,1,2,-112650240,-2883846144/1220703125
1,2,0,5,3,0,-153031680,-3917611008/1220703125
1,2,0,7,1,0,-357073920,-9141092352/1220703125
1,2,2,1,1,4,567376320,14524833792/1220703125
1,2,2,1,3,2,-805621056,-103119495168/6103515625
