# gate=ITER057AT_CORRECTED_HOMOGENEOUS_DEGREE6_SOURCE
# preregistration=6039cb2ed1380b549bced3d33634362ef57345d4
# production_head=c4e7ccc05ea1b8f4967379fc370812dfa99cce03
# actions_run=35198813733
# primary_artifact=10486378527
# primary_artifact_digest=sha256:7e923b6b3124d3bd8a95488a8c7b184ce86bb683a0076a8fb26098424ac838e7
# independent_artifact=10486998588
# independent_artifact_digest=sha256:29a01128e1561c42fa15e06989c1967089d40bd9d960935215a412c1ce226f2f
# terminal_artifact=10486973737
# terminal_artifact_digest=sha256:bdb5affc949803e692d3680864746daa0c4175324d85e1ce7426d1b719621bb6
# ordered_840_vector_sha256=5d070732d90b864f6167e03da85b86ce531d127dc9442fdbb928fd1b6153ee6b
# slot_count=840
# nonzero_count=140
# c6=SYMBOLIC_UNFIXED_FACTORED_OUT
a,b,t,x,y,z,value
0,0,0,0,0,6,167006208/9765625
0,0,0,0,2,4,-835923968/244140625
0,0,0,0,4,2,28975104/244140625
0,0,0,0,6,0,109873152/48828125
0,0,0,2,0,4,-835923968/244140625
0,0,0,2,2,2,9658368/244140625
0,0,0,2,4,0,109873152/244140625
0,0,0,4,0,2,28975104/244140625
0,0,0,4,2,0,109873152/244140625
0,0,0,6,0,0,109873152/48828125
0,0,2,0,0,4,1202638848/244140625
0,0,2,0,2,2,-512970752/244140625
0,0,2,0,4,0,529342464/244140625
0,0,2,2,0,2,-512970752/244140625
0,0,2,2,2,0,176447488/244140625
0,0,2,4,0,0,529342464/244140625
0,0,4,0,0,2,-2896973824/244140625
0,0,4,0,2,0,609693696/244140625
0,0,4,2,0,0,609693696/244140625
0,0,6,0,0,0,12644352/1953125
0,1,1,1,0,4,-428869632/244140625
0,1,1,1,2,2,14704128/48828125
0,1,1,1,4,0,10269696/244140625
0,1,1,3,0,2,44112384/48828125
0,1,1,3,2,0,10269696/244140625
0,1,1,5,0,0,10269696/48828125
0,1,3,1,0,2,206413824/244140625
0,1,3,1,2,0,61554176/244140625
0,1,3,3,0,0,184662528/244140625
0,1,5,1,0,0,2107392/1953125
0,2,1,0,1,4,-428869632/244140625
0,2,1,0,3,2,44112384/48828125
0,2,1,0,5,0,10269696/48828125
0,2,1,2,1,2,14704128/48828125
0,2,1,2,3,0,10269696/244140625
0,2,1,4,1,0,10269696/244140625
0,2,3,0,1,2,206413824/244140625
0,2,3,0,3,0,184662528/244140625
0,2,3,2,1,0,61554176/244140625
0,2,5,0,1,0,2107392/1953125
0,3,1,0,0,5,4686282752/244140625
0,3,1,0,2,3,-933941248/244140625
0,3,1,0,4,1,84977664/48828125
0,3,1,2,0,3,-933941248/244140625
0,3,1,2,2,1,28325888/48828125
0,3,1,4,0,1,84977664/48828125
0,3,3,0,0,3,-3302375424/244140625
0,3,3,0,2,1,359763968/244140625
0,3,3,2,0,1,359763968/244140625
0,3,5,0,0,1,8429568/1953125
1,1,0,0,0,6,-322965504/9765625
1,1,0,0,2,4,590790656/244140625
1,1,0,0,4,2,-250146816/244140625
1,1,0,0,6,0,42283008/48828125
1,1,0,2,0,4,1482776576/244140625
1,1,0,2,2,2,-194080768/244140625
1,1,0,2,4,0,18702336/48828125
1,1,0,4,0,2,-914337792/244140625
1,1,0,4,2,0,144740352/244140625
1,1,0,6,0,0,195969024/48828125
1,1,2,0,0,4,3043086336/244140625
1,1,2,0,2,2,-371593216/244140625
1,1,2,0,4,0,187256832/244140625
1,1,2,2,0,2,-256864256/244140625
1,1,2,2,2,0,45985792/244140625
1,1,2,4,0,0,17731584/48828125
1,1,4,0,0,2,-1246113792/244140625
1,1,4,0,2,0,168792064/244140625
1,1,4,2,0,0,15060992/244140625
1,1,6,0,0,0,12644352/9765625
1,2,0,1,1,4,89198592/48828125
1,2,0,1,3,2,-166047744/244140625
1,2,0,1,5,0,25614336/48828125
1,2,0,3,1,2,-166047744/244140625
1,2,0,3,3,0,76843008/244140625
1,2,0,5,1,0,25614336/48828125
1,2,2,1,1,2,11472896/48828125
1,2,2,1,3,0,-24649728/244140625
1,2,2,3,1,0,-24649728/244140625
1,2,4,1,1,0,-76865536/244140625
1,3,0,1,0,5,-887629824/244140625
1,3,0,1,2,3,193340928/244140625
1,3,0,1,4,1,-75457536/244140625
1,3,0,3,0,3,580022784/244140625
1,3,0,3,2,1,-75457536/244140625
1,3,0,5,0,1,-75457536/48828125
1,3,2,1,0,3,231272448/244140625
1,3,2,1,2,1,67153408/244140625
1,3,2,3,0,1,201460224/244140625
1,3,4,1,0,1,335865856/244140625
2,2,0,0,0,6,-322965504/9765625
2,2,0,0,2,4,1482776576/244140625
2,2,0,0,4,2,-914337792/244140625
