# Iter057W canonical normalized R10/kappa^5
# preregistration=7e6336d195985b2059966eda64859da86c9e9d15
# implementation=ad14ccd72a1a3ca75ab95acb0e294c6707b14627
# production_runs=35034092694,35034524501
# artifacts=10423276358,10423176041
# scientific_payload_sha256=359b27d478b5b4927bc7df0c98a361f0177bba57e5550433662cd21138f75571
a,b,t,x,y,z,R10_over_kappa5
0,0,0,0,0,10,-15297152
0,0,0,0,2,8,-4043584
0,0,0,0,4,6,2418144
0,0,0,0,6,4,376560
0,0,0,0,8,2,-1128960
0,0,0,2,0,8,-4043584
0,0,0,2,2,6,806048
0,0,0,2,4,4,75312
0,0,0,2,6,2,-161280
0,0,0,4,0,6,2418144
0,0,0,4,2,4,75312
0,0,0,4,4,2,-96768
0,0,0,6,0,4,376560
0,0,0,6,2,2,-161280
0,0,0,8,0,2,-1128960
0,0,2,0,0,8,-9507328
0,0,2,0,2,6,-507456
0,0,2,0,4,4,1637664
0,0,2,0,6,2,-483840
0,0,2,0,8,0,-1370880
0,0,2,2,0,6,-507456
0,0,2,2,2,4,545888
0,0,2,2,4,2,-96768
0,0,2,2,6,0,-195840
0,0,2,4,0,4,1637664
0,0,2,4,2,2,-96768
0,0,2,4,4,0,-117504
0,0,2,6,0,2,-483840
0,0,2,6,2,0,-195840
0,0,2,8,0,0,-1370880
0,0,4,0,0,6,-2823296
0,0,4,0,2,4,526848
0,0,4,0,4,2,1394880
0,0,4,0,6,0,-2477520
0,0,4,2,0,4,526848
0,0,4,2,2,2,464960
0,0,4,2,4,0,-495504
0,0,4,4,0,2,1394880
0,0,4,4,2,0,-495504
0,0,4,6,0,0,-2477520
0,0,6,0,0,4,-1400960
0,0,6,0,2,2,2127360
0,0,6,0,4,0,-1924800
0,0,6,2,0,2,2127360
0,0,6,2,2,0,-641600
0,0,6,4,0,0,-1924800
0,0,8,0,0,2,1536640
0,0,8,0,2,0,-768320
0,0,8,2,0,0,-768320
0,1,1,1,0,8,824320
0,1,1,1,2,6,-58960
0,1,1,1,4,4,-79392
0,1,1,1,6,2,108000
0,1,1,3,0,6,-176880
0,1,1,3,2,4,-79392
0,1,1,3,4,2,64800
0,1,1,5,0,4,-396960
0,1,1,5,2,2,108000
0,1,1,7,0,2,756000
0,1,3,1,0,6,1396288
0,1,3,1,2,4,-327952
