# Iter057X canonical degree-six Weyl3 source normalized coefficients
# preregistration=b5f88ced655c4fa409c4ccb9c27eb84054ecfad7
# implementation=920b73f8430983255081b9bcd3ec6d222b737b08
# scientific_payload_sha256=7a85a8b78e6876810ecefc6e1b37efea956caa41f26d54f4f8b9dcf16ca45249
a,b,t,x,y,z,Shat_over_kappa6,value
0,0,0,0,0,6,-432708864,-27693367296/244140625
0,0,0,0,2,4,90929536,5819490304/244140625
0,0,0,0,4,2,-54410880,-696459264/48828125
0,0,0,0,6,0,35556480,455122944/48828125
0,0,0,2,0,4,90929536,5819490304/244140625
0,0,0,2,2,2,-18136960,-232153088/48828125
0,0,0,2,4,0,7111296,455122944/244140625
0,0,0,4,0,2,-54410880,-696459264/48828125
0,0,0,4,2,0,7111296,455122944/244140625
0,0,0,6,0,0,35556480,455122944/48828125
0,0,2,0,0,4,164905728,10553966592/244140625
0,0,2,0,2,2,-42478784,-2718642176/244140625
0,0,2,0,4,0,-5720064,-366084096/244140625
0,0,2,2,0,2,-42478784,-2718642176/244140625
0,0,2,2,2,0,-1906688,-122028032/244140625
0,0,2,4,0,0,-5720064,-366084096/244140625
0,0,4,0,0,2,-93585152,-5989449728/244140625
0,0,4,0,2,0,-13280000,-1359872/390625
0,0,4,2,0,0,-13280000,-1359872/390625
0,0,6,0,0,0,-2195200,-5619712/9765625
0,1,1,1,0,4,36313344,2324054016/244140625
0,1,1,1,2,2,-10920160,-139778048/48828125
0,1,1,1,4,0,5639424,360923136/244140625
0,1,1,3,0,2,-32760480,-419334144/48828125
0,1,1,3,2,0,5639424,360923136/244140625
0,1,1,5,0,0,28197120,360923136/48828125
0,1,3,1,0,2,-39634272,-2536593408/244140625
0,1,3,1,2,0,3938048,252035072/244140625
0,1,3,3,0,0,11814144,756105216/244140625
0,1,5,1,0,0,7574080,96948224/48828125
0,2,1,0,1,4,36313344,2324054016/244140625
0,2,1,0,3,2,-32760480,-419334144/48828125
0,2,1,0,5,0,28197120,360923136/48828125
0,2,1,2,1,2,-10920160,-139778048/48828125
0,2,1,2,3,0,5639424,360923136/244140625
0,2,1,4,1,0,5639424,360923136/244140625
0,2,3,0,1,2,-39634272,-2536593408/244140625
0,2,3,0,3,0,11814144,756105216/244140625
0,2,3,2,1,0,3938048,252035072/244140625
0,2,5,0,1,0,7574080,96948224/48828125
0,3,1,0,0,5,51249280,655990784/48828125
0,3,1,0,2,3,3184480,40761344/48828125
0,3,1,0,4,1,-38887296,-2488786944/244140625
0,3,1,2,0,3,3184480,40761344/48828125
0,3,1,2,2,1,-12962432,-829595648/244140625
0,3,1,4,0,1,-38887296,-2488786944/244140625
0,3,3,0,0,3,-14432640,-184737792/48828125
0,3,3,0,2,1,-28974176,-1854347264/244140625
0,3,3,2,0,1,-28974176,-1854347264/244140625
0,3,5,0,0,1,-17343360,-221995008/48828125
1,1,0,0,0,6,-154083456,-9861341184/244140625
1,1,0,0,2,4,37202752,2380976128/244140625
1,1,0,0,4,2,-13893888,-889208832/244140625
1,1,0,0,6,0,56724480,726073344/48828125
1,1,0,2,0,4,34897472,2233438208/244140625
1,1,0,2,2,2,-5958848,-381366272/244140625
1,1,0,2,4,0,10306560,131923968/48828125
1,1,0,4,0,2,-21859200,-55959552/9765625
1,1,0,4,2,0,9268224,593166336/244140625
1,1,0,6,0,0,41149440,526712832/48828125
1,1,2,0,0,4,91879296,5880274944/244140625
1,1,2,0,2,2,-18356288,-1174802432/244140625
1,1,2,0,4,0,32957568,2109284352/244140625
1,1,2,2,0,2,-38021952,-2433404928/244140625
1,1,2,2,2,0,12323776,788721664/244140625
1,1,2,4,0,0,40985088,2623045632/244140625
1,1,4,0,0,2,-92484864,-5919031296/244140625
1,1,4,0,2,0,41828928,2677051392/244140625
1,1,4,2,0,0,51026752,3265712128/244140625
1,1,6,0,0,0,76371200,195510272/9765625
1,2,0,1,1,4,-1152640,-14753792/48828125
1,2,0,1,3,2,-1991328,-127444992/244140625
1,2,0,1,5,0,-2595840,-33226752/48828125
1,2,0,3,1,2,-1991328,-127444992/244140625
1,2,0,3,3,0,-1557504,-99680256/244140625
1,2,0,5,1,0,-2595840,-33226752/48828125
1,2,2,1,1,2,-9832832,-629301248/244140625
1,2,2,1,3,0,2006880,25688064/48828125
1,2,2,3,1,0,2006880,25688064/48828125
1,2,4,1,1,0,4598912,294330368/244140625
1,3,0,1,0,5,-20400384,-1305624576/244140625
1,3,0,1,2,3,784832,50229248/244140625
1,3,0,1,4,1,-4194048,-268419072/244140625
1,3,0,3,0,3,2354496,150687744/244140625
1,3,0,3,2,1,-4194048,-268419072/244140625
1,3,0,5,0,1,-20970240,-268419072/48828125
1,3,2,1,0,3,10949280,140150784/48828125
1,3,2,1,2,1,-10813472,-692062208/244140625
1,3,2,3,0,1,-32440416,-2076186624/244140625
1,3,4,1,0,1,-48217792,-3085938688/244140625
2,2,0,0,0,6,-154083456,-9861341184/244140625
2,2,0,0,2,4,34897472,2233438208/244140625
2,2,0,0,4,2,-21859200,-55959552/9765625
2,2,0,0,6,0,41149440,526712832/48828125
2,2,0,2,0,4,37202752,2380976128/244140625
2,2,0,2,2,2,-5958848,-381366272/244140625
2,2,0,2,4,0,9268224,593166336/244140625
2,2,0,4,0,2,-13893888,-889208832/244140625
2,2,0,4,2,0,10306560,131923968/48828125
2,2,0,6,0,0,56724480,726073344/48828125
2,2,2,0,0,4,91879296,5880274944/244140625
2,2,2,0,2,2,-38021952,-2433404928/244140625
2,2,2,0,4,0,40985088,2623045632/244140625
2,2,2,2,0,2,-18356288,-1174802432/244140625
2,2,2,2,2,0,12323776,788721664/244140625
2,2,2,4,0,0,32957568,2109284352/244140625
2,2,4,0,0,2,-92484864,-5919031296/244140625
2,2,4,0,2,0,51026752,3265712128/244140625
2,2,4,2,0,0,41828928,2677051392/244140625
2,2,6,0,0,0,76371200,195510272/9765625
2,3,0,0,1,5,-20400384,-1305624576/244140625
