# Iter057Z canonical R12 normalized coefficients
# preregistration=f1c04bbfdb7848ab79708beb902ccdb315fbd5ed
# implementation=a7f8198bdb41c5667ea47b2689731e238307fc94
# artifact_io_fix=b259568db5c37154043cb1b913393b82f93b2765
# scientific_payload_sha256=e62c84d0ad586322d588093ddbf067c0ad185478a042e3c877d24e7809122c6b
# classification=PASS_SCOPED_ITER057Z_DODECIC_EINSTEIN_SEED_COMPLETES_VACUUM_THROUGH_COORDINATE_DEGREE_TEN__HIGHER_SEED_ORDERS_REMAIN_OPEN
# matrix_shape=4316x4550
# rank_M=3436
# rank_augmented=3436
# left_nullity=880
# nullity=1114
# bianchi_rank=880
# compatibility_nonzero_count=0
a,b,t,x,y,z,R12_over_kappa6
0,0,0,0,0,12,-1663445568
0,0,0,0,2,10,-373641600
0,0,0,0,4,8,-230338656
0,0,0,0,6,6,233824320
0,0,0,0,8,4,6693120
0,0,0,0,10,2,-145152000
0,0,0,2,0,10,-373641600
0,0,0,2,2,8,-76779552
0,0,0,2,4,6,46764864
0,0,0,2,6,4,956160
0,0,0,2,8,2,-16128000
0,0,0,4,0,8,-230338656
0,0,0,4,2,6,46764864
0,0,0,4,4,4,573696
0,0,0,4,6,2,-6912000
0,0,0,6,0,6,233824320
0,0,0,6,2,4,956160
0,0,0,6,4,2,-6912000
0,0,0,8,0,4,6693120
0,0,0,8,2,2,-16128000
0,0,0,10,0,2,-145152000
0,0,2,0,0,10,-769499584
0,0,2,0,2,8,-344130784
0,0,2,0,4,6,21016800
0,0,2,0,6,4,168924240
0,0,2,0,8,2,-114186240
0,0,2,0,10,0,-166924800
0,0,2,2,0,8,-344130784
0,0,2,2,2,6,7005600
0,0,2,2,4,4,33784848
0,0,2,2,6,2,-16312320
0,0,2,2,8,0,-18547200
0,0,2,4,0,6,21016800
0,0,2,4,2,4,33784848
0,0,2,4,4,2,-9787392
0,0,2,4,6,0,-7948800
0,0,2,6,0,4,168924240
0,0,2,6,2,2,-16312320
0,0,2,6,4,0,-7948800
0,0,2,8,0,2,-114186240
0,0,2,8,2,0,-18547200
0,0,2,10,0,0,-166924800
0,0,4,0,0,8,-692384384
0,0,4,0,2,6,-152634176
0,0,4,0,4,4,123717888
0,0,4,0,6,2,90747360
0,0,4,0,8,0,-336349440
0,0,4,2,0,6,-152634176
0,0,4,2,2,4,41239296
0,0,4,2,4,2,18149472
0,0,4,2,6,0,-48049920
0,0,4,4,0,4,123717888
0,0,4,4,2,2,18149472
0,0,4,4,4,0,-28829952
0,0,4,6,0,2,90747360
0,0,4,6,2,0,-48049920
0,0,4,8,0,0,-336349440
0,0,6,0,0,6,-233212288
0,0,6,0,2,4,-64861856
0,0,6,0,4,2,258225792
0,0,6,0,6,0,-353486160
0,0,6,2,0,4,-64861856
0,0,6,2,2,2,86075264
0,0,6,2,4,0,-70697232
0,0,6,4,0,2,258225792
0,0,6,4,2,0,-70697232
0,0,6,6,0,0,-353486160
0,0,8,0,0,4,-241496000
0,0,8,0,2,2,245600000
0,0,8,0,4,0,-213012000
0,0,8,2,0,2,245600000
0,0,8,2,2,0,-71004000
0,0,8,4,0,0,-213012000
0,0,10,0,0,2,134456000
0,0,10,0,2,0,-67228000
0,0,10,2,0,0,-67228000
0,1,1,1,0,10,-126491200
0,1,1,1,2,8,45941216
0,1,1,1,4,6,-21091632
0,1,1,1,6,4,1622880
0,1,1,1,8,2,8064000
0,1,1,3,0,8,137823648
0,1,1,3,2,6,-21091632
0,1,1,3,4,4,973728
0,1,1,3,6,2,3456000
0,1,1,5,0,6,-105458160
0,1,1,5,2,4,1622880
0,1,1,5,4,2,3456000
0,1,1,7,0,4,11360160
0,1,1,7,2,2,8064000
0,1,1,9,0,2,72576000
0,1,3,1,0,8,-19562304
0,1,3,1,2,6,29453472
0,1,3,1,4,4,-26662512
0,1,3,1,6,2,19386720
0,1,3,3,0,6,88360416
0,1,3,3,2,4,-26662512
0,1,3,3,4,2,11632032
0,1,3,5,0,4,-133312560
0,1,3,5,2,2,19386720
0,1,3,7,0,2,135707040
0,1,5,1,0,6,193567520
0,1,5,1,2,4,-43950320
0,1,5,1,4,2,20706240
0,1,5,3,0,4,-131850960
0,1,5,3,2,2,20706240
0,1,5,5,0,2,103531200
0,1,7,1,0,4,-48020000
0,1,7,1,2,2,14406000
0,1,7,3,0,2,43218000
0,2,1,0,1,10,-126491200
0,2,1,0,3,8,137823648
0,2,1,0,5,6,-105458160
0,2,1,0,7,4,11360160
0,2,1,0,9,2,72576000
0,2,1,2,1,8,45941216
0,2,1,2,3,6,-21091632
0,2,1,2,5,4,1622880
0,2,1,2,7,2,8064000
0,2,1,4,1,6,-21091632
0,2,1,4,3,4,973728
0,2,1,4,5,2,3456000
0,2,1,6,1,4,1622880
0,2,1,6,3,2,3456000
0,2,1,8,1,2,8064000
0,2,3,0,1,8,-19562304
0,2,3,0,3,6,88360416
0,2,3,0,5,4,-133312560
0,2,3,0,7,2,135707040
0,2,3,2,1,6,29453472
0,2,3,2,3,4,-26662512
0,2,3,2,5,2,19386720
0,2,3,4,1,4,-26662512
0,2,3,4,3,2,11632032
0,2,3,6,1,2,19386720
0,2,5,0,1,6,193567520
0,2,5,0,3,4,-131850960
0,2,5,0,5,2,103531200
0,2,5,2,1,4,-43950320
0,2,5,2,3,2,20706240
0,2,5,4,1,2,20706240
0,2,7,0,1,4,-48020000
0,2,7,0,3,2,43218000
0,2,7,2,1,2,14406000
0,3,1,0,0,11,-516517184
0,3,1,0,2,9,-527895648
0,3,1,0,4,7,147566592
0,3,1,0,6,5,155941200
0,3,1,0,8,3,-194826240
0,3,1,0,10,1,-166924800
0,3,1,2,0,9,-527895648
0,3,1,2,2,7,49188864
0,3,1,2,4,5,31188240
0,3,1,2,6,3,-27832320
0,3,1,2,8,1,-18547200
0,3,1,4,0,7,147566592
0,3,1,4,2,5,31188240
0,3,1,4,4,3,-16699392
0,3,1,4,6,1,-7948800
0,3,1,6,0,5,155941200
0,3,1,6,2,3,-27832320
0,3,1,6,4,1,-7948800
0,3,1,8,0,3,-194826240
0,3,1,8,2,1,-18547200
0,3,1,10,0,1,-166924800
0,3,3,0,0,9,-653259776
0,3,3,0,2,7,-270448064
0,3,3,0,4,5,283692960
0,3,3,0,6,3,-64346400
0,3,3,0,8,1,-336349440
0,3,3,2,0,7,-270448064
0,3,3,2,2,5,94564320
0,3,3,2,4,3,-12869280
0,3,3,2,6,1,-48049920
0,3,3,4,0,5,283692960
0,3,3,4,2,3,-12869280
0,3,3,4,4,1,-28829952
0,3,3,6,0,3,-64346400
0,3,3,6,2,1,-48049920
0,3,3,8,0,1,-336349440
0,3,5,0,0,7,-620347328
0,3,5,0,2,5,110939424
0,3,5,0,4,3,133988352
0,3,5,0,6,1,-353486160
0,3,5,2,0,5,110939424
0,3,5,2,2,3,44662784
0,3,5,2,4,1,-70697232
0,3,5,4,0,3,133988352
0,3,5,4,2,1,-70697232
0,3,5,6,0,1,-353486160
0,3,7,0,0,5,-145456000
0,3,7,0,2,3,187976000
0,3,7,0,4,1,-213012000
0,3,7,2,0,3,187976000
0,3,7,2,2,1,-71004000
0,3,7,4,0,1,-213012000
0,3,9,0,0,3,134456000
0,3,9,0,2,1,-67228000
0,3,9,2,0,1,-67228000
1,1,0,0,0,12,-6776666112
1,1,0,0,2,10,607894176
1,1,0,0,4,8,121385280
1,1,0,0,6,6,89677440
1,1,0,0,8,4,-299738880
1,1,0,0,10,2,21772800
1,1,0,2,0,10,2218128736
1,1,0,2,2,8,-125790272
1,1,0,2,4,6,30596640
1,1,0,2,6,4,-37036800
1,1,0,2,8,2,4032000
1,1,0,4,0,8,-876126912
1,1,0,4,2,6,43257792
1,1,0,4,4,4,-18752256
1,1,0,4,6,2,2419200
1,1,0,6,0,6,279594720
1,1,0,6,2,4,-25470720
1,1,0,6,4,2,3110400
1,1,0,8,0,4,-137813760
1,1,0,8,2,2,8870400
1,1,0,10,0,2,94348800
1,1,2,0,0,10,1149482496
1,1,2,0,2,8,-107525696
1,1,2,0,4,6,241018512
1,1,2,0,6,4,-224449920
1,1,2,0,8,2,133217280
1,1,2,2,0,8,242489408
1,1,2,2,2,6,32487600
1,1,2,2,4,4,-41216064
1,1,2,2,6,2,22671360
1,1,2,4,0,6,-46092912
1,1,2,4,2,4,-37542144
1,1,2,4,4,2,15787008
1,1,2,6,0,4,-169341120
1,1,2,6,2,2,29952000
1,1,2,8,0,2,235146240
1,1,4,0,0,8,-513519104
1,1,4,0,2,6,282605952
1,1,4,0,4,4,-150912096
1,1,4,0,6,2,74269440
1,1,4,2,0,6,361056512
1,1,4,2,2,4,-79339552
1,1,4,2,4,2,25207008
1,1,4,4,0,4,-325125216
1,1,4,4,2,2,35560128
1,1,4,6,0,2,229566240
1,1,6,0,0,6,850028800
1,1,6,0,2,4,-141876000
1,1,6,0,4,2,19690800
1,1,6,2,0,4,-260680800
1,1,6,2,2,2,21776400
1,1,6,4,0,2,110967600
1,1,8,0,0,4,-153664000
1,1,8,0,2,2,-9604000
1,1,8,2,0,2,9604000
1,2,0,1,1,10,805117280
1,2,0,1,3,8,-249378048
1,2,0,1,5,6,31652880
1,2,0,1,7,4,20240640
1,2,0,1,9,2,7257600
1,2,0,3,1,8,-249378048
1,2,0,3,3,6,18991728
1,2,0,3,5,4,8674560
1,2,0,3,7,2,2419200
1,2,0,5,1,6,31652880
1,2,0,5,3,4,8674560
1,2,0,5,5,2,1728000
1,2,0,7,1,4,20240640
1,2,0,7,3,2,2419200
1,2,0,9,1,2,7257600
1,2,2,1,1,8,175007552
1,2,2,1,3,6,-71777856
1,2,2,1,5,4,9184800
1,2,2,1,7,2,12741120
1,2,2,3,1,6,-71777856
1,2,2,3,3,4,5510880
1,2,2,3,5,2,5460480
1,2,2,5,1,4,9184800
1,2,2,5,3,2,5460480
1,2,2,7,1,2,12741120
1,2,4,1,1,6,39225280
1,2,4,1,3,4,-43553280
1,2,4,1,5,2,25882800
1,2,4,3,1,4,-43553280
1,2,4,3,3,2,15529680
1,2,4,5,1,2,25882800
1,2,6,1,1,4,-59402400
1,2,6,1,3,2,22819200
1,2,6,3,1,2,22819200
1,2,8,1,1,2,9604000
1,3,0,1,0,11,-3149737216
1,3,0,1,2,9,421109536
1,3,0,1,4,7,-83341152
1,3,0,1,6,5,18419040
1,3,0,1,8,3,-3225600
1,3,0,3,0,9,1263328608
1,3,0,3,2,7,-83341152
1,3,0,3,4,5,11051424
1,3,0,3,6,3,-1382400
1,3,0,5,0,7,-416705760
1,3,0,5,2,5,18419040
1,3,0,5,4,3,-1382400
1,3,0,7,0,5,128933280
1,3,0,7,2,3,-3225600
1,3,0,9,0,3,-29030400
1,3,2,1,0,9,-437059264
1,3,2,1,2,7,68743728
1,3,2,1,4,5,5368752
1,3,2,1,6,3,-16025760
1,3,2,3,0,7,206231184
1,3,2,3,2,5,5368752
1,3,2,3,4,3,-9615456
1,3,2,5,0,5,26843760
1,3,2,5,2,3,-16025760
1,3,2,7,0,3,-112180320
1,3,4,1,0,7,-206714272
1,3,4,1,2,5,78942512
1,3,4,1,4,3,-30383568
1,3,4,3,0,5,236827536
1,3,4,3,2,3,-30383568
1,3,4,5,0,3,-151917840
1,3,6,1,0,5,272063200
1,3,6,1,2,3,-30189600
1,3,6,3,0,3,-90568800
1,3,8,1,0,3,-19208000
2,2,0,0,0,12,-6776666112
2,2,0,0,2,10,2218128736
2,2,0,0,4,8,-876126912
2,2,0,0,6,6,279594720
2,2,0,0,8,4,-137813760
2,2,0,0,10,2,94348800
2,2,0,2,0,10,607894176
2,2,0,2,2,8,-125790272
2,2,0,2,4,6,43257792
2,2,0,2,6,4,-25470720
2,2,0,2,8,2,8870400
2,2,0,4,0,8,121385280
2,2,0,4,2,6,30596640
2,2,0,4,4,4,-18752256
2,2,0,4,6,2,3110400
2,2,0,6,0,6,89677440
2,2,0,6,2,4,-37036800
2,2,0,6,4,2,2419200
2,2,0,8,0,4,-299738880
2,2,0,8,2,2,4032000
2,2,0,10,0,2,21772800
2,2,2,0,0,10,1149482496
2,2,2,0,2,8,242489408
2,2,2,0,4,6,-46092912
2,2,2,0,6,4,-169341120
2,2,2,0,8,2,235146240
2,2,2,2,0,8,-107525696
2,2,2,2,2,6,32487600
2,2,2,2,4,4,-37542144
2,2,2,2,6,2,29952000
2,2,2,4,0,6,241018512
2,2,2,4,2,4,-41216064
2,2,2,4,4,2,15787008
2,2,2,6,0,4,-224449920
2,2,2,6,2,2,22671360
2,2,2,8,0,2,133217280
2,2,4,0,0,8,-513519104
2,2,4,0,2,6,361056512
2,2,4,0,4,4,-325125216
2,2,4,0,6,2,229566240
2,2,4,2,0,6,282605952
2,2,4,2,2,4,-79339552
2,2,4,2,4,2,35560128
2,2,4,4,0,4,-150912096
2,2,4,4,2,2,25207008
2,2,4,6,0,2,74269440
2,2,6,0,0,6,850028800
2,2,6,0,2,4,-260680800
2,2,6,0,4,2,110967600
2,2,6,2,0,4,-141876000
2,2,6,2,2,2,21776400
2,2,6,4,0,2,19690800
2,2,8,0,0,4,-153664000
2,2,8,0,2,2,9604000
2,2,8,2,0,2,-9604000
2,3,0,0,1,11,-3149737216
2,3,0,0,3,9,1263328608
2,3,0,0,5,7,-416705760
2,3,0,0,7,5,128933280
2,3,0,0,9,3,-29030400
2,3,0,2,1,9,421109536
2,3,0,2,3,7,-83341152
2,3,0,2,5,5,18419040
2,3,0,2,7,3,-3225600
2,3,0,4,1,7,-83341152
2,3,0,4,3,5,11051424
2,3,0,4,5,3,-1382400
2,3,0,6,1,5,18419040
2,3,0,6,3,3,-1382400
2,3,0,8,1,3,-3225600
2,3,2,0,1,9,-437059264
2,3,2,0,3,7,206231184
2,3,2,0,5,5,26843760
2,3,2,0,7,3,-112180320
2,3,2,2,1,7,68743728
2,3,2,2,3,5,5368752
2,3,2,2,5,3,-16025760
2,3,2,4,1,5,5368752
2,3,2,4,3,3,-9615456
2,3,2,6,1,3,-16025760
2,3,4,0,1,7,-206714272
2,3,4,0,3,5,236827536
2,3,4,0,5,3,-151917840
2,3,4,2,1,5,78942512
2,3,4,2,3,3,-30383568
2,3,4,4,1,3,-30383568
2,3,6,0,1,5,272063200
2,3,6,0,3,3,-90568800
2,3,6,2,1,3,-30189600
2,3,8,0,1,3,-19208000
3,3,0,0,0,12,5782957248
3,3,0,0,2,10,-2212333792
3,3,0,0,4,8,647613504
3,3,0,0,6,6,8588880
3,3,0,0,8,4,-162570240
3,3,0,0,10,2,-166924800
3,3,0,2,0,10,-2212333792
3,3,0,2,2,8,215871168
3,3,0,2,4,6,1717776
3,3,0,2,6,4,-23224320
3,3,0,2,8,2,-18547200
3,3,0,4,0,8,647613504
3,3,0,4,2,6,1717776
3,3,0,4,4,4,-13934592
3,3,0,4,6,2,-7948800
3,3,0,6,0,6,8588880
3,3,0,6,2,4,-23224320
3,3,0,6,4,2,-7948800
